area_name,year,group_name,sub_group_name,cases_property_recovered,cases_property_stolen,value_of_property_recovered,value_of_property_stolen,cases_recovery_rate,property_value_recovery_rate,cluster,case_recovery_class,property_recovery_class
1,2001,1,1,27,64,755858,1321961,0.421875,0.5717702715889501,0,Low,Low
1,2002,1,1,13,49,201275,491892,0.2653061224489796,0.40918534962959346,0,Low,Low
1,2003,1,1,16,56,681962,1068059,0.2857142857142857,0.6385059252344674,0,Low,Low
1,2004,1,1,30,69,1779879,3208951,0.43478260869565216,0.5546606975301275,0,Low,Low
1,2005,1,1,25,68,705419,3418391,0.36764705882352944,0.20635995121681516,0,Low,Low
1,2006,1,1,25,82,888107,2605702,0.3048780487804878,0.3408321442743645,0,Low,Low
1,2007,1,1,21,90,715116,3173066,0.23333333333333334,0.2253706667305376,0,Low,Low
1,2008,1,1,35,78,1671141,2940686,0.44871794871794873,0.56828270682419,0,Low,Low
1,2009,1,1,29,86,2269980,4793680,0.3372093023255814,0.47353598905225214,0,Low,Low
1,2010,1,1,34,80,657512,1955919,0.425,0.33616525019696625,0,Low,Low
1,2001,2,2,1,10,80000,1226967,0.1,0.06520142758525697,0,Low,Low
1,2002,2,2,0,4,0,617295,0.0,0.0,0,Low,Low
1,2003,2,2,1,3,1000,271000,0.3333333333333333,0.0036900369003690036,0,Low,Low
1,2004,2,2,0,0,0,0,1.0,1.0,0,Low,Low
1,2005,2,2,0,8,0,252808214,0.0,0.0,0,Low,Low
1,2006,2,2,0,3,0,2190825,0.0,0.0,0,Low,Low
1,2007,2,2,0,7,0,1477118,0.0,0.0,0,Low,Low
1,2008,2,2,4,12,62169,4331562,0.3333333333333333,0.014352559192272903,0,Low,Low
1,2009,2,2,0,7,0,187903,0.0,0.0,0,Low,Low
1,2010,2,2,2,10,147644,530144,0.2,0.27849791754693065,0,Low,Low
1,2001,3,3,0,0,0,0,1.0,1.0,0,Low,Low
1,2002,3,3,1,1,50000,50000,1.0,1.0,0,Low,Low
